date,risk_score,daily_max_renewable_scaled,daily_mean_load_scaled,daily_max_ratio,analysis_type
2025-05-04,132.30667923116397,220.6413519503415,129.8297829735352,2.148098326922294,sensitivity_top_risk
2025-05-08,119.67976718770107,236.62082826005926,164.07954974566806,1.740140806296751,sensitivity_top_risk
2025-05-02,116.54319925585149,220.7093809801748,150.50764682705574,1.8221851324577134,sensitivity_top_risk
2025-05-25,111.12014806196171,202.76295391962066,136.30334557645094,1.9027804609312982,sensitivity_top_risk
2025-05-26,111.04401913372787,236.24519013245362,163.0894533912696,1.6227552976799067,sensitivity_top_risk
2025-05-13,101.85880748631605,228.61210846791099,169.3709715167488,1.5579159388180157,sensitivity_top_risk
2025-05-30,99.68836382458758,227.04157316517134,169.2813526990757,1.5331828222708561,sensitivity_top_risk
2025-05-07,97.41730979568372,214.44944211478926,158.80137287232557,1.5758622573487115,sensitivity_top_risk
2025-05-29,96.49356417662526,227.69914492533465,172.98498959038577,1.4924766425205127,sensitivity_top_risk
2025-05-12,95.98706899620608,214.94254399871718,159.50582236901437,1.5539477088801055,sensitivity_top_risk
