hour,epsilon_90_by_hour_raw,calibration_count_by_hour
0,19.891061941604,15
1,20.972049730901364,15
2,21.268903837884885,15
3,21.76975156791892,15
4,22.620683922588302,15
5,24.755702658248815,15
6,16.869837073290405,15
7,32.51214007176424,15
8,83.55137264455455,15
9,95.46844569440793,15
10,115.87082833247341,15
11,127.81415655804733,15
12,121.30315151173595,15
13,127.61652588851113,15
14,127.64864007808576,15
15,93.21053596730387,15
16,52.127486129278594,15
17,19.517703372855507,15
18,18.387585720791453,15
19,22.23148522899024,15
20,20.23059928059947,15
21,21.56337802749416,15
22,21.213865003761782,15
23,17.78146295610289,15
